date,description,earnings,job_title,job_type,link,text,title
2022-08-03 23:11,"
        
Looking for a bilingual Spanish/English female writer to help create a narrative pertaining to the lives of a couple recapping their lives in different countries.
    ",Compensation open,script writer,contrato,https://costarica.craigslist.org/wri/d/writer/7517112006.html,Script writer,Script writer
2022-08-04 11:20,"
        
Excellent English verbal skills?

Well motivate people looking for a nice environment to work, wagering experience, detail oriented on the sports book field.  

Ticket writer it's a plus.   Work on site

Send your resume to  
 

Part time positions available
    ",$6.50 rate an hour,Wagering Clerk wanted,contrato,https://costarica.craigslist.org/csr/d/wagering-clerk-wanted/7517275143.html,WAGERING CLERK WANTED,WAGERING CLERK WANTED
2022-08-04 07:17,"
        
We're Hiring!

Centro Educativo Costa Ballena seeks qualified High School English Literature and Language teacher to in September.

Minimum candidate requirements
* Must have completed a four-year advanced degree, equivalent to the B.A. or B.S. in the United States
*Must have completed a teacher education program and be a certified teacher
*Minimum 2 years of classroom teaching experience
*Conversationally bi-lingual (or progressing towards) English/Spanish
* Must be a native speaker of either English
*Creative and interdisciplinary teaching style and philosophy
*Self-starter, motivated and flexible character
*International experience a plus
* TEFL certification and/or experience teaching non-native speakers desirable
*Passions and skills outside of education that will positively impact the school
* Minimum of two outstanding professional references, including co-workers and supervisors. Names and current contact information must be provided with application

Demography and philosophy of our school

We are not an elitist institution with high fees that only serves an affluent expat community. We are a multicultural school community. We aim to offer a quality education to the widest reach of people who reside along the Costa Ballena. Currently, approximately half of our students are Costa Rican. The other half of our students come from many different countries.

Work environment

Within the confines of the California State Teaching Standards and Ministry of Education of Costa Rica standards, you will have autonomy and the freedom to be a creative and inspiring teacher. You will work independently and collaboratively (with other teachers and members of the community) to plan exciting lessons and teach in a style that suits you and the children you are working with. Class sizes are small (8-16 students) and you will be able to develop closer relationships with your students. For a detailed description Centro Educativo Costa Ballena please go to the following website: www.centroeducativocostaballena.org
To apply: Please send a one-page letter of interest indicating your specific interest and your resume or CV to Centro Educativo Costa Ballena.
    ",DOE &amp; DOQ,Secondary school English Lit. &amp; Lang. teacher,contrato,https://costarica.craigslist.org/edu/d/centro-educativo-costa-ballena/7517158724.html,Centro Educativo Costa Ballena,Centro Educativo Costa Ballena
2022-08-04 14:20,"
        
Elevated Support Services is looking for English speaking candidates (Native level) For a Customer Service position in our company.

You will be in charge of handling emails and calls for our customers in Europe and Canada

Please send us your resume so we can contact you if you are interested.

Requirements:

English ( Native  )
Experience in Customer Service
Experience in Call Center
Experience on the sportsbooks , e games or virtual casino industry is desired.

This is NOT a virtual or WFH position.
    ",$$$,Customer service agent,contrato,https://costarica.craigslist.org/csr/d/customer-service-agent/7515001666.html,Customer service agent,Customer service agent
2022-08-04 22:00,"
        
Direct hire, relocation included, all expenses and paperwork included.

We require Java/J2EE or Python Developers with 3+ years of experience to work on long term projects at USA corporations in several states (Not remote).

Job requirements:

- Full stack experience and have worked in a Linux / Unix environment.
- He/She should be able to work independently while coordinating with other team members and departments.
- Should Conduct code, design and process reviews, including code sampling design reviews, code profiling, unit test reviews.
- Containers, docker, Kubernates, Cloud experience is plus and not mandatory.
- All selected candidates will go thru a background check 

Java Candidates Required Skills:

- Must have experience with Java/J2EE application development (3-5 years)
- Must have experience with Java / J2EE
- Must have experience with Spring / Spring Boot
- Must have experience with REST API/ Microservices
- Must have experience with Middleware- backend role experience
- Must have excellent communication skills.
- Must have experience working with Linux/Unix 

Preferred Skills:

- Identity & Access Management
- DevOps skills
- AWS Cloud (ELB / EC2/ S3)
- Docker / Kubernetes
- Agile / Scrum
- UI / Angular /Full Stack
- Kafka
- Spark 

Please fill out the application form below:

https://zfrmz.com/prVocrChPdlSCrl7n70r
    ",TBD,Java or Python Developers Needed - Work Opportunit,tiempo completo,https://costarica.craigslist.org/tch/d/java-or-python-developers-needed-work/7517509420.html,Java or Python Developers Needed - Work Opportunity In USA,Java or Python Developers Needed - Work Opportunity In USA
2022-08-05 15:11,"
        
This job requires the candidate to a skilled writer and researcher, with an eye for detail and an understanding of the special requirements of web publication.  The following are the major job responsibilities of a Web Editor.

Responsibilities

•	Read content and correct errors in spelling, punctuation and grammar
•	Rewrite copies to make it easier for readers to understand 
•	Verify facts using standard reference sources
•	Evaluate submissions from writers to decide what to publish
•	Be constantly informed and up to date with current events in the sports world.
•	Work with writers to help their ideas and stories to succeed 
•	Plan digital publications according to style and editorial policy

Desired qualifications include:

•	Experience in communications, journalism and other backgrounds which show strong writing skills
•	Sports knowledge (the stronger the better)
•	Detailed oriented, good judgment, creative mind and high interpersonal skills


    ",Very competitive,Sports Editor,tiempo completo,https://costarica.craigslist.org/wri/d/sports-editor/7517755111.html,Sports Editor,Sports Editor
2022-08-05 11:41,"
        
Nomadux is looking to fill several Senior Director and Operations Manager positions


To apply - Please send your C.V. in ENGLISH ONLY - Applications not received in ENGLISH will be disregarded. And a Voice Recording Telling us about yourself and your job experience.


Tasks and responsibilities will include the following:


Overseeing the activities of a large team in a large, and rapidly expanding multinational contact center operation
Motivating and directing a multi-skilled team
Achieving company targets and objectives
Developing, implementing, and monitoring Key Performance Indicators (KPIs) and metrics
Leading, developing, and inspiring the team
Oversee all processes and operations, along with associated policies and procedures, including the development and implementation of all Standard Operating Procedures (SOP's)
Oversee all performance reporting requirements for the business


Important requirements

Must be fully bilingual in English and Spanish - Fluent level of English language required.
Must have at least 3-5 years of experience in a similar Senior customer-facing level Contact Center position
Candidates with the education of degree level would be preferred.


Salary Per Year and benefits: Excellent senior-level salary and benefits! - Up to $75,000 base salary for the 1 x Director position and up to $48,000 base salary for the 4 x Senior Operations manager positions = Outstanding benefits, and a great work environment, with a world-class leading Customer contact center organization.


Employment Type: Full-time


Location: Hybrid/Office-home based, but with the majority of the time spent in the office.
    ","$75,000 &amp; $48,000 per year",Operation Manager &amp; Operations Director,tiempo completo,https://costarica.craigslist.org/ofc/d/operation-manager-operations-director/7517693582.html,Operation Manager & Operations Director Need Urgently (Heredia),Operation Manager & Operations Director Need Urgently (Heredia)
2022-07-25 13:45,"
        
A financial company in a booming industry is looking for the best closers in Costa Rica.


We are building the best sales team in Costa Rica, and are excited to invite you to take part in a growing family and seize a lifetime opportunity.


Please only apply with us if you meet all of the requirements below:


Responsibilities:

You will be taking inbound queue calls and conducting outbound calls with potential prospects.
You will be managing your own sales pipeline.
You will be meeting weekly/monthly/yearly sales goals.

Qualifications:

Our ideal candidate is a hard worker with an excellent work ethic.
Our ideal candidate must speak, read and write fluent English.
Our ideal candidate lives in San Jose, Costa Rica, preferably in or around Escazu.
Our ideal candidate is hungry for success and would like to change their life for the better while helping other people on a daily basis.
Our ideal candidate is not afraid of the phone.


If you think you would be a good fit for this job position, please submit your CV.
    ",$1000-$5000,Sales Agent,tiempo completo,https://costarica.craigslist.org/sls/d/financial-company-is-looking-for-sales/7513274142.html,A Financial Company Is Looking For Sales Pros,A Financial Company Is Looking For Sales Pros
2022-07-25 14:22,"
        
Have you ever worked in a sportsbook?
Do you have good knowledge of DGS?

If you can say yes to those 2 questions, then we are interested in you. If you can't, then it's better that you do not reply!

We are looking to hire CS reps, wagering/deposit clerks, and lines managers.

CS reps must be able to handle any type of agent request. i.e create agent packages, profiling, limits profiling.
If you have experience in that department then reply to this ad.

Wagering/Deposits: If you have experience taking wagers over the phone and taking deposits using various methods then we'd like to hear from you.

Lines managers: Are you able to work under pressure? Do you have a vast knowledge of DGS? We are looking for top people out there that can multi task. Able to create various events from scratch, while also being able to keep an eye on the beticker for sharp action coming in. If you think you have what it takes than we would like to here from you with further detail to your past work experience.

When replying to this ad, be sure to metion what your DGS skills are. You will not be considered if you do not answer this simple question.
    ",to be discussed,sportsbook,tiempo completo,https://costarica.craigslist.org/csr/d/its-that-time-of-the-year/7513275444.html,Its that time of the year,Its that time of the year
2022-07-25 14:24,"
        
We Offer:
• Immediate full time positions
• Excellent transportation BONUS
• GREAT salary
• Family like environment
• Job stability
• Comprehensive benefit package
• Training Bonus

Requirements:
* Has the ability to multi-task and troubleshoot.
* Can work under pressure.
* Pay close attention to details.
* Team player.
* Must be able to work weekends
* Responsible!
* Has knowledge or desire to learn more about the sports betting industry.
* Has strong listening and communication skills.
* Computer skills
* Can start immediately.
* Call Center experience is a plus
* Availability to work on weekends, holidays and evenings
    ",GREAT Salary-Above Market,Customer Service Specialist,tiempo completo,https://costarica.craigslist.org/csr/d/on-site-position-customer-service/7513295438.html,ON SITE POSITION - CUSTOMER SERVICE SPECIALIST,ON SITE POSITION - CUSTOMER SERVICE SPECIALIST
2022-07-26 13:55,"
        
Looking for an experienced content writer for articles and websites on topics such as finance, credit cards, travel, debt home services and more. Some translation work as well.

Preferably searching for writers in both English and Spanish but can accept either Spanish or English Only. Portuguese or other languages is a huge plus. Full time or contract work available. Flexible hours and schedule if full-time. Potential for growth.

Please send resume and examples of work.

    ",USD1200 Full-time,Writer,opción del empleado,https://costarica.craigslist.org/wri/d/content-writer/7513708210.html,Content Writer,Content Writer
2022-07-26 10:49,"
        
ROLE:

A Lead Specialist (LS) is required to interact with sellers and potential sellers of real property.
They are responsible for prompt follow-up and qualification of new incoming leads, follow-up
with cold leads in the database, and generating new leads through cold-calling. The LS will
follow up and nurture of these leads until they are ready to do business. Warm/Hot leads are
passed by the LS to an Acquisitions Specialist (AS) to secure a purchase contract that results in
an acceptable profit. LS are required to work hand-in-hand with the sales team to ensure
seamless communication and assistance in the sales process.

ROLES AND RESPONSIBILITIES
1. Follow-up and qualify inbound leads from all marketing channels
2. Revive & nurture relationships with existing leads from the database until ready to sell
3. Generate new leads via cold calling using company systems
4. Use script and sales process to qualify/disqualify all leads
5. Document all lead interactions and updates in company CRM (Podio, etc)
6. Report to and assist Sales Manager by ensuring leads are properly qualified
7. Work hand in hand with Acquisitions Specialist(s) to successfully close deals
8. Additional duties/responsibilities may be assigned as needed for the company’s mission
    ",$1500 monthly,Real Estate caller,tiempo completo,https://costarica.craigslist.org/sls/d/real-estate-calling/7508766045.html,Real Estate Calling,Real Estate Calling
2022-07-26 14:45,"
        
A financial company in a booming industry is looking for the best closers in Costa Rica.


We are building the best sales team in Costa Rica, and are excited to invite you to take part in a growing family and seize a lifetime opportunity.


Please only apply with us if you meet all of the requirements below:


Responsibilities:

You will be taking inbound queue calls and conducting outbound calls with potential prospects.
You will be managing your own sales pipeline.
You will be meeting weekly/monthly/yearly sales goals.

Qualifications:

Our ideal candidate is a hard worker with an excellent work ethic.
Our ideal candidate must speak, read and write fluent English.
Our ideal candidate lives in San Jose, Costa Rica, preferably in or around Escazu.
Our ideal candidate is hungry for success and would like to change their life for the better while helping other people on a daily basis.
Our ideal candidate is not afraid of the phone.


If you think you would be a good fit for this job position, please submit your CV.
    ",$1000-$5000,Sales Agent,tiempo completo,https://costarica.craigslist.org/sls/d/only-apply-if-you-are-closer/7513731326.html,Only Apply If You Are A Closer,Only Apply If You Are A Closer
2022-07-26 15:17,"
        
Requirements:

-Excellent written and verbal English skills
-Sports rules knowledge
-Work from the home
-Punctual
-Team player


We Offer:

- Immediate full time position
- Job stability
- Biweekly payment
- Working from home
- CCSS
    ",Depending on experience starting at $1600,Line Mover,tiempo completo,https://costarica.craigslist.org/etc/d/wfh-full-time-line-mover-sportsbook/7513745389.html,WFH FULL TIME - LINE MOVER SPORTSBOOK,WFH FULL TIME - LINE MOVER SPORTSBOOK
2022-07-26 16:46,"
        
Book Experience ONLY 

Requirements:
-100% English Written and Spoken 
-DGS Experience a must, agent profile creation from scratch, give out figures, review agent and player accounts, lines experience, open and close games, grading, general sports rule knowledge
-Excel Microsoft proficiency 
-Ability to work in fast-paced environment 

We will hire today! Please attach resume
    ",Salary depending on experience,PPH MANAGER,tiempo completo,https://costarica.craigslist.org/csr/d/pph-manager-needed/7501840840.html,PPH manager needed,PPH manager needed
2022-07-26 17:30,"
        
We are currently looking for a Web Designer person or team to help us create our dream. 

We are a highly experienced book with over 30 years experience in the business and we want to make several changes to our business process. 
Experience designing Sportsbook websites a plus 
We currently work with HTML5 and . net 
We would like to hire someone or a team that can think outside the box
    ",contract based,Webdeveloper,tiempo completo,https://costarica.craigslist.org/web/d/webdesigner/7513797976.html,WebDesigner,WebDesigner
2022-07-27 14:21,"
        
A financial company in a booming industry is looking for the best closers in Costa Rica.


We are building the best sales team in Costa Rica, and are excited to invite you to take part in a growing family and seize a lifetime opportunity.


Please only apply with us if you meet all of the requirements below:


Responsibilities:

You will be taking inbound queue calls and conducting outbound calls with potential prospects.
You will be managing your own sales pipeline.
You will be meeting weekly/monthly/yearly sales goals.

Qualifications:

Our ideal candidate is a hard worker with an excellent work ethic.
Our ideal candidate must speak, read and write fluent English.
Our ideal candidate lives in San Jose, Costa Rica, preferably in or around Escazu.
Our ideal candidate is hungry for success and would like to change their life for the better while helping other people on a daily basis.
Our ideal candidate is not afraid of the phone.


If you think you would be a good fit for this job position, please submit your CV.
    ",$1000-$5000,Sales Agent,tiempo completo,https://costarica.craigslist.org/sls/d/final-week-of-interviews-looking-for/7514142234.html,FINAL WEEK OF INTERVIEWS! LOOKING FOR CLO$ERS!,FINAL WEEK OF INTERVIEWS! LOOKING FOR CLO$ERS!
2022-07-27 15:13,"
        
We Offer:
• Immediate full time positions
• Excellent transportation BONUS
• GREAT salary
• Family like environment
• Job stability
• Comprehensive benefit package
• Training Bonus

Requirements:
* Has the ability to multi-task and troubleshoot.
* Can work under pressure.
* Pay close attention to details.
* Team player.
* Must be able to work weekends
* Responsible!
* Has knowledge or desire to learn more about the sports betting industry.
* Has strong listening and communication skills.
* Computer skills
* Can start immediately.
* Call Center experience is a plus
* Availability to work on weekends, holidays and evenings
    ",GREAT Salary-Above Market,Customer Service Specialist,tiempo completo,https://costarica.craigslist.org/csr/d/on-site-position-customer-service/7514165911.html,ON SITE POSITION - CUSTOMER SERVICE SPECIALIST,ON SITE POSITION - CUSTOMER SERVICE SPECIALIST
2022-07-28 11:42,"
        
A financial company in a booming industry is looking for the best closers in Costa Rica.


We are building the best sales team in Costa Rica, and are excited to invite you to take part in a growing family and seize a lifetime opportunity.


Please only apply with us if you meet all of the requirements below:


Responsibilities:

You will be taking inbound queue calls and conducting outbound calls with potential prospects.
You will be managing your own sales pipeline.
You will be meeting weekly/monthly/yearly sales goals.

Qualifications:

Our ideal candidate is a hard worker with an excellent work ethic.
Our ideal candidate must speak, read and write fluent English.
Our ideal candidate lives in San Jose, Costa Rica, preferably in or around Escazu.
Our ideal candidate is hungry for success and would like to change their life for the better while helping other people on a daily basis.
Our ideal candidate is not afraid of the phone.


If you think you would be a good fit for this job position, please submit your CV.
    ",$1000-$5000,Sales Agent,tiempo completo,https://costarica.craigslist.org/sls/d/final-week-of-interviews-looking-for/7514473738.html,FINAL WEEK OF INTERVIEWS! LOOKING FOR THE BEST!,FINAL WEEK OF INTERVIEWS! LOOKING FOR THE BEST!
2022-07-28 14:01,"
        
Dental Cosmetics is hiring!
Bilingual Secretary (English/Spanish) 
Computer skills
Team player
Great communication skills and likeability
Impeccable presence 
Full time in Santa Ana
    ",400000,Bilingual secretary,tiempo completo,https://costarica.craigslist.org/ofc/d/secretaria-bilingue-para-clnica/7514541198.html,Secretaria bilingue para clínica,Secretaria bilingue para clínica
2022-07-28 17:54,"
        
A financial company in a booming industry is looking for the best closers in Costa Rica.


We are building the best sales team in Costa Rica, and are excited to invite you to take part in a growing family and seize a lifetime opportunity.


Please only apply with us if you meet all of the requirements below:


Responsibilities:

You will be taking inbound queue calls and conducting outbound calls with potential prospects.
You will be managing your own sales pipeline.
You will be meeting weekly/monthly/yearly sales goals.

Qualifications:

Our ideal candidate is a hard worker with an excellent work ethic.
Our ideal candidate must speak, read and write fluent English.
Our ideal candidate lives in San Jose, Costa Rica, preferably in or around Escazu.
Our ideal candidate is hungry for success and would like to change their life for the better while helping other people on a daily basis.
Our ideal candidate is not afraid of the phone.


If you think you would be a good fit for this job position, please submit your CV.
    ",$1000-$5000,Sales Agent,tiempo completo,https://costarica.craigslist.org/sls/d/join-the-best-sales-team-in-booming/7514632745.html,Join The Best Sales Team In A Booming Industry!,Join The Best Sales Team In A Booming Industry!
2022-08-01 13:09,"
        
We are looking for friendly individuals with great customer service skills and the following qualifications:
º C1+ English level (written and spoken)
º Adaptable to change and multitasking
º Open and flexible schedule
º Problem solving mindset with strong active listening and reading abilities
º Experience with event planning, logistics, planning/coordination execution
º Strong work ethics (punctuality, responsibility, performance excellence, etc)
º Experience with customer service
º Eager to start right away

We offer:
- Paid training
- Fun environment
- Competitive salary 
- Full time positions

Send us your resume along with a short note explaining who you are and why you are the candidate we are looking for!
    ",$750,"Event Planning, Coordinating, Execution",tiempo completo,https://costarica.craigslist.org/csr/d/event-planning-and-production-imiloa/7516075773.html,Event Planning and Production (Imiloa Institute),Event Planning and Production (Imiloa Institute)
2022-07-29 16:50,"
        
A financial company in a booming industry is looking for the best closers in Costa Rica.


We are building the best sales team in Costa Rica, and are excited to invite you to take part in a growing family and seize a lifetime opportunity.


Please only apply with us if you meet all of the requirements below:


Responsibilities:

You will be taking inbound queue calls and conducting outbound calls with potential prospects.
You will be managing your own sales pipeline.
You will be meeting weekly/monthly/yearly sales goals.

Qualifications:

Our ideal candidate is a hard worker with an excellent work ethic.
Our ideal candidate must speak, read and write fluent English.
Our ideal candidate lives in San Jose, Costa Rica, preferably in or around Escazu.
Our ideal candidate is hungry for success and would like to change their life for the better while helping other people on a daily basis.
Our ideal candidate is not afraid of the phone.


If you think you would be a good fit for this job position, please submit your CV.
    ",$1000-$5000,Sales Agent,tiempo completo,https://costarica.craigslist.org/sls/d/were-building-the-best-sales-floor-in-cr/7515024227.html,We're Building The Best Sales Floor In CR!,We're Building The Best Sales Floor In CR!
2022-08-01 16:05,"
        
We are looking for an IT inventory coordinator (storage and delivery)

The IT inventory coordinator is responsible for ensuring the timely dispatch of orders, receiving imports as well as establishing and monitoring KPIs and item locations. In addition to proposing improvements to the system. He/she will be in charge of the personnel in charge of the internal management of the company's warehouses.

Location: Costa Rica

Requirements:
 
Industrial Engineer student (or related career)
 
SAP system management

1 year of experience in Inventory management.
 
English C1

    ",We are open to negotiation,IT inventory coordinator (storage and delivery),tiempo completo,https://costarica.craigslist.org/mnu/d/it-inventory-coordinator-storage-and/7516153620.html,IT inventory coordinator (storage and delivery),IT inventory coordinator (storage and delivery)
2022-08-01 16:07,"
        
Role Purpose: The Project Manager manages key client projects. Project management responsibilities include the coordination and completion of projects on time within budget and within scope.
   
Key Responsibilities:
•	Coordinate internal resources and third parties/vendors for the flawless execution of projects
•	Ensure that all projects are delivered on-time, within scope and within budget
•	Assist in the definition of project scope and objectives, involving all relevant stakeholders and ensuring technical feasibility
•	Ensure resource availability and allocation
•	Manage changes to the project scope, project schedule and project costs using appropriate verification techniques
•	Measure project performance using appropriate tools and techniques
•	Report and escalate to management as needed
•	Manage the relationship with the client and all stakeholders
•	Perform risk management to minimize project risks
•	Establish and maintain relationships with third parties/vendors
•	Meet with clients to take detailed ordering briefs and clarify specific requirements of each project
•	Develop comprehensive project plans to be shared with clients as well as other staff members
•	Manage the product backlog including prioritization and planning analysis sessions. 
•	Plan and replan software releases for product features as they are produced to ensure timely updates and to deliver the planned benefits as early as possible in the product roadmap. Manage tasks and meet assigned delivery dates. 
•	Define and deliver products and services that meet customer needs by selecting the best possible approaches available within established systems.  
•	Identify and evaluate risks, issues, dependencies, and constraints associated with the project, escalating where appropriate. Where necessary, develop, agree on, and implement solutions to overcome these.

Qualifications and Educational Requirements
•	Proven working experience in project management
•	Has experience in various Agile frameworks (SCRUM, Kanban, ScrumBan)
•	Has digital app experience will be considered as a plus
•	Has min 6 years of project management, product owner or technical product manager work experience.
•	Excellent client-facing and internal communication skills
•	Excellent written and verbal communication skills
•	Solid organizational skills including attention to detail and multitasking skills
•	Bachelor's Degree in appropriate field of study or equivalent work experience

Specialist Skills and Experience Required
•	Requirement gathering & Articulation
•	Developing and Tracking Budgets
•	Project Management
•	Management
•	Process Improvement
•	Planning
•	UML Diagrams & FlowCharts
    ",We are open to negotiation,IT Project Manager,tiempo completo,https://costarica.craigslist.org/sof/d/it-project-manager/7516153752.html,IT Project Manager,IT Project Manager
2022-08-05 18:57,"
        
Renting 2nd Floor Offices.  Great strategic location in South Sabana.  With front Parking Space, High Speed WiFi & Terrace.   Perfect for a ""Small Business Unit"" of 3 to 5 people.   Send  whatssap message at number on the AD.  Ready to make money!!
    ",$$$,SALESMEN,tiempo completo,https://costarica.craigslist.org/ofc/d/offices-to-rent/7517889111.html,OFFICES TO RENT,OFFICES TO RENT
2022-08-07 13:24,"
        
Experience opencloses

new paper

Call Henry 

Seven one seven nine eight zero nine one
    ",We pay commission,Sales,tiempo completo,https://costarica.craigslist.org/lab/d/we-start-tomorrow-closer/7518518005.html,"We start tomorrow closer ""","We start tomorrow closer """
2022-08-06 23:03,"
        
Do you have experience taking wagers?  Do you enjoy helping customers? Do you have experience using DGS, or ASI well?

Established per head company is needing to hire experienced customer service and wagering clerks.

Send us your resumé asap!

Qualified applicants must have immediate availability to start.
    ","USD, salary to be discussed",Hiring Experienced Wagering Clerks,tiempo completo,https://costarica.craigslist.org/csr/d/experienced-wagering-clerks-needed/7518331596.html,Experienced Wagering Clerks needed,Experienced Wagering Clerks needed
2022-08-07 15:08,"
        
private taxi service we pick up at the airport and go to any part of the country per trip, days or week where you indicate we take you with responsibility and confidence.
Safety, hygiene, cleanliness, air conditioning, comfort, bicycle rack
    ",Depending on the distance traveled and the waiting time,Greivin private taxi service,tiempo completo,https://costarica.craigslist.org/trp/d/private-taxi-service/7518560423.html,private taxi service,private taxi service
2022-08-09 07:45,"
        
An exclusive U.S.-Costa Rican private educational institution dedicated to providing a multicultural studies K-12 curriculum in Central America school is searching for qualified, professional and experienced native English-speaking lower elementary teachers for the Fall 2022 - Spring 2023 academic year.

All applicants must have the following:
** Experience teaching English, Math, Social Studies and Science to elementary students
** College/university degree 
** Positive, fun-loving, and caring attitude towards children
** Team player that can work under stressful school-environment conditions 
** Productive, efficient, consistent and helpful
** Creative and engenders initiative in/outside the classroom 
** Professional, tactful and respectful
** Follows rules and respects administration's policies
** Maintains a conservative and professional appearance 

Not required, but desired:
** Advanced degree
** Advanced computer/technological literacy, familiarity with Google Apps 
** Familiarity with Common Core (U.S.) curriculum 
** Experience teaching children in the U.S. or Canada

Schedule:
Monday-Friday, 7:30am - 3:30pm
CR (national) and US (selected) Holidays are observed.

Environment: 
** Safe and controlled
** Family-like
** Friendly management
** Respectful, selective children/groups

Term:
August 2022 - June 2023 

Compensation:
* $1,250+ per month (DOE)
* Extension for following academic year 2022-23*
* Intensive 2-week teacher training from experienced (former) U.S. Department of Education administrator and policy maker
* Room for growth

Please reply with ""Upper Elementary Position"" in the subject line, along with a cover letter and resume.
*Based on positive performance
    ","$1,250 per month",Upper Elementary Teacher,tiempo completo,https://costarica.craigslist.org/edu/d/upper-elementary-teacher-grade/7519182547.html,Upper Elementary Teacher (Grade 4),Upper Elementary Teacher (Grade 4)
2022-08-09 10:28,"
        

Seeking a well spoken representative who can speak English with little or no accent.
Calls will be made to real estate professionals who we can offer our services to.
You will need to have a go getter attitude.
Follow ups are a must as you will need to check in with the individuals on a weekly, biweekly and/or monthly schedule.
Speaking Spanish is a plus, but not required.
The account manager position can be part-time or full-time.
This position can be flexible and allow to work part-time hours, if desired.


-Must have previous phone experience.
-Must be able to speak English cleanly and with little or no accent.
-Must be able to write and communicate professionally.
-Must be organized.
-Must have a reliable computer.
-A quiet place to work such as an office or home office

Position will have hourly compensation plus performance incentives.


-Please send a copy of your resume with email, phone and Skype ID.
-Indicate if you are seeking part-time or full-time employment, along with your requested compensation.
-Make sure to include a voice sample as well.
-Have your subject line include ""Account Manager for Real Estate Team"".
    ",Hourly plus performance incentive,Account Manager for Real Estate Team,opción del empleado,https://costarica.craigslist.org/sls/d/account-manager-for-real-estate-team/7519238733.html,Account Manager for Real Estate Team,Account Manager for Real Estate Team
2022-08-09 14:08,"
        
We are looking for a remote Desktop Support Engineer to to provide technical assistance to our clients. You will help install, upgrade and troubleshoot hardware and software systems. If you’re computer-savvy and enjoy supporting end users, we’d like to meet you. To succeed in this role, you should have a problem-solving attitude along with the ability to give clear technical instructions. You should be familiar with remote troubleshooting techniques. Ultimately, you will ensure prompt and accurate customer service and increase client satisfaction.

Responsibilities

Address user tickets regarding hardware, software and networking
Walk customers through installing applications and computer peripherals
Ask targeted questions to diagnose problems
Guide users with simple, step-by-step instructions
Conduct remote troubleshooting
Test alternative pathways until you resolve an issue
Customize desktop applications to meet user needs
Record technical issues and solutions in logs
Direct unresolved issues to the next level of support personnel
Follow up with clients to ensure their systems are functional
Report customer feedback and potential product requests
Help create technical documentation and manuals
Skills

Proven work experience as a Desktop Support Engineer, Technical Support Engineer or similar role
Hands-on experience with Windows/Linux/Mac OS environments
Working knowledge of office automation products and computer peripherals, like printers and scanners
Knowledge of network security practices and anti-virus programs
Ability to perform remote troubleshooting and provide clear instructions
Excellent problem-solving and multitasking skills
Customer-oriented attitude
Understanding of O365 and or Microsoft Azure
    ","₡513,389.00 - ₡800,000.00 per month Depends on experience and education",Sr Desktop Support Engineer,contrato,https://costarica.craigslist.org/tch/d/sr-desktop-support-engineer/7519329124.html,Sr Desktop Support Engineer,Sr Desktop Support Engineer
2022-08-09 17:01,"
        
Good afternoon
I have an ecolodge in Costa Rica in the central Pacific area, between Quepos and Dominical.  I am looking for a chef entrepreneur who wants to runs his own kitchen - not tico food, but fine dining.  My location is absolutely beautiful.

More specifically I am not offering a job but a partnership into a culinary business that can profit both of us.  I have the venue, I will manage the advertisements, including web and signage.  Our target client base are expats who love fine food and dining as well as tourists.  We are conveniently located between Manuel Antonio and Dominical, and halfway from San Jose to the OSA peninsula (to attract tourists who need a great lunch).  This is a relaxed environment.  I would provide the kitchen, amenities - the 'chef' would manage the kitchen, menu and staff.  

This is a very good opportunity to be your own boss (perhaps co-boss), but the profitability is within the correct candidate's hands.  I want someone who wants to make money and a great life for themselves in Costa Rica.

Reach out with your cv and anything else you'd like to share with me about your life aspirations.

Please only respond if you are serious, and have the creds....

Ciao
Helene
    ",Compensation would be based on profits from the restaurant.,Chef/Restaurant Manager,tiempo completo,https://costarica.craigslist.org/fbh/d/trained-chef-to-manage-restaurant/7519432815.html,Trained chef to manage a restaurant,Trained chef to manage a restaurant
